dataset,defense,feature_set,error_bound,epsilon,closed_world
liberatore,session-random-255,panchenko,0.03268415878414787,0.06536831756829574,False
liberatore,session-random-255,vng++,0.03331800341447875,0.0666360068289575,False
liberatore,session-random-255,CUMUL,0.02850172263359398,0.05700344526718796,False
liberatore,packet-random-255,liberatore,0.055661664639070525,0.11132332927814105,False
liberatore,packet-random-255,herrmann,0.1709980587283174,0.3419961174566348,False
liberatore,packet-random-255,panchenko,0.020994015476796225,0.04198803095359245,False
liberatore,packet-random-255,vng++,0.028378013757797263,0.056756027515594526,False
liberatore,packet-random-255,CUMUL,0.02518425868388415,0.0503685173677683,False
liberatore,none,liberatore,0.013670569828737633,0.027341139657475266,False
liberatore,none,herrmann,0.01217524002509902,0.02435048005019804,False
liberatore,none,panchenko,0.01388462455645597,0.02776924911291194,False
liberatore,none,vng++,0.02130301830919163,0.04260603661838326,False
liberatore,none,CUMUL,0.02205767880666255,0.0441153576133251,False
liberatore,session-random-gaussian,liberatore,0.14331583761621608,0.28663167523243216,False
liberatore,session-random-gaussian,herrmann,0.29960132191484035,0.5992026438296807,False
liberatore,session-random-gaussian,panchenko,0.03524146245474798,0.07048292490949595,False
liberatore,session-random-gaussian,vng++,0.024046996355310064,0.04809399271062013,False
liberatore,session-random-gaussian,CUMUL,0.0228410408598395,0.045682081719679,False
liberatore,packet-random-gaussian,liberatore,0.20168961933248142,0.40337923866496284,False
liberatore,packet-random-gaussian,herrmann,0.2045715153401788,0.4091430306803576,False
liberatore,packet-random-gaussian,panchenko,0.018066547057414218,0.036133094114828436,False
liberatore,packet-random-gaussian,vng++,0.02344351537634061,0.04688703075268122,False
liberatore,packet-random-gaussian,CUMUL,0.02354256869162232,0.04708513738324464,False
liberatore,session-random-255,liberatore,0.056829903470339616,0.11365980694067923,False
liberatore,session-random-255,herrmann,0.1262883373841351,0.2525766747682702,False
liberatore,session-random-255,panchenko,0.029532102303972577,0.059064204607945155,False
liberatore,session-random-255,vng++,0.029681848208667035,0.05936369641733407,False
liberatore,session-random-255,CUMUL,0.026060197393471186,0.05212039478694237,False
liberatore,packet-random-255,liberatore,0.06362005216462863,0.12724010432925725,False
liberatore,packet-random-255,herrmann,0.1305000084614011,0.2610000169228022,False
liberatore,packet-random-255,panchenko,0.01870456149881851,0.03740912299763702,False
liberatore,packet-random-255,vng++,0.022408781357645617,0.044817562715291234,False
liberatore,packet-random-255,CUMUL,0.02288867587233808,0.04577735174467616,False
liberatore,none,liberatore,0.014200239830889099,0.028400479661778198,False
liberatore,none,herrmann,0.013876117839983361,0.027752235679966722,False
liberatore,none,panchenko,0.01591755176023779,0.03183510352047558,False
liberatore,none,vng++,0.023026519095667202,0.046053038191334404,False
liberatore,none,CUMUL,0.02296326420091505,0.0459265284018301,False
liberatore,session-random-gaussian,liberatore,0.12720760534341247,0.25441521068682493,False
liberatore,session-random-gaussian,herrmann,0.3020655824359221,0.6041311648718442,False
liberatore,session-random-gaussian,panchenko,0.03474648883824534,0.06949297767649068,False
liberatore,session-random-gaussian,vng++,0.028069270164238373,0.056138540328476746,False
liberatore,session-random-gaussian,CUMUL,0.02385213312180537,0.04770426624361074,False
liberatore,packet-random-gaussian,liberatore,0.14928250191896297,0.29856500383792595,False
liberatore,packet-random-gaussian,herrmann,0.2852975429050258,0.5705950858100516,False
liberatore,packet-random-gaussian,panchenko,0.018786089898349574,0.03757217979669915,False
liberatore,packet-random-gaussian,vng++,0.023338870952540322,0.046677741905080644,False
liberatore,packet-random-gaussian,CUMUL,0.02379979429788556,0.04759958859577112,False
liberatore,session-random-255,liberatore,0.06466431230187016,0.1293286246037403,False
liberatore,session-random-255,herrmann,0.13449512773093644,0.2689902554618729,False
liberatore,session-random-255,panchenko,0.03114352007496111,0.06228704014992222,False
liberatore,session-random-255,vng++,0.03255973261195485,0.0651194652239097,False
liberatore,session-random-255,CUMUL,0.0244067632039454,0.0488135264078908,False
liberatore,packet-random-255,liberatore,0.05858411370803728,0.11716822741607456,False
liberatore,packet-random-255,herrmann,0.17607110277125307,0.35214220554250614,False
liberatore,packet-random-255,panchenko,0.018885119182037443,0.037770238364074886,False
liberatore,packet-random-255,vng++,0.024294713316094087,0.048589426632188175,False
liberatore,packet-random-255,CUMUL,0.024049234154864756,0.04809846830972951,False
liberatore,none,liberatore,0.013343681245715854,0.026687362491431707,False
liberatore,none,herrmann,0.014117779478592019,0.028235558957184038,False
liberatore,none,panchenko,0.014464486271076698,0.028928972542153396,False
liberatore,none,vng++,0.019483045447770762,0.038966090895541525,False
liberatore,none,CUMUL,0.0219238425883298,0.0438476851766596,False
liberatore,session-random-gaussian,liberatore,0.1335007879954003,0.2670015759908006,False
liberatore,session-random-gaussian,herrmann,0.30099229486379214,0.6019845897275843,False
liberatore,session-random-gaussian,panchenko,0.031164506341789085,0.06232901268357817,False
liberatore,session-random-gaussian,vng++,0.02631398912285209,0.05262797824570418,False
liberatore,session-random-gaussian,CUMUL,0.022415388275353557,0.044830776550707115,False
liberatore,packet-random-gaussian,liberatore,0.1854517041524918,0.3709034083049836,False
liberatore,packet-random-gaussian,herrmann,0.21314335635277204,0.4262867127055441,False
liberatore,packet-random-gaussian,panchenko,0.019805881956887796,0.03961176391377559,False
liberatore,packet-random-gaussian,vng++,0.023238491942080403,0.04647698388416081,False
liberatore,packet-random-gaussian,CUMUL,0.0224341891874242,0.0448683783748484,False
liberatore,session-random-255,liberatore,0.056676047518972955,0.11335209503794591,False
liberatore,session-random-255,herrmann,0.1280126762407548,0.2560253524815096,False
liberatore,session-random-255,panchenko,0.028058371147615013,0.056116742295230025,False
liberatore,session-random-255,vng++,0.02808530497816164,0.05617060995632328,False
liberatore,session-random-255,CUMUL,0.02437051023177995,0.0487410204635599,False
liberatore,packet-random-255,liberatore,0.06623004266532648,0.13246008533065295,False
liberatore,packet-random-255,herrmann,0.1616758687472445,0.323351737494489,False
liberatore,packet-random-255,panchenko,0.019975127085317998,0.039950254170635996,False
liberatore,packet-random-255,vng++,0.02327556309699318,0.04655112619398636,False
liberatore,packet-random-255,CUMUL,0.0241524015259955,0.048304803051991,False
liberatore,none,liberatore,0.014231797029179842,0.028463594058359683,False
liberatore,none,herrmann,0.013640609341772313,0.027281218683544627,False
liberatore,none,panchenko,0.015626372103163675,0.03125274420632735,False
liberatore,none,vng++,0.022753142106113886,0.04550628421222777,False
liberatore,none,CUMUL,0.02229927023157092,0.04459854046314184,False
liberatore,session-random-gaussian,liberatore,0.13084344693878922,0.26168689387757843,False
liberatore,session-random-gaussian,herrmann,0.3048826320183035,0.609765264036607,False
liberatore,session-random-gaussian,panchenko,0.03206318492575819,0.06412636985151637,False
liberatore,session-random-gaussian,vng++,0.026772654712245925,0.05354530942449185,False
liberatore,session-random-gaussian,CUMUL,0.021590572693616545,0.04318114538723309,False
liberatore,packet-random-gaussian,liberatore,0.18317365167359007,0.36634730334718013,False
liberatore,packet-random-gaussian,herrmann,0.2387252245500882,0.4774504491001764,False
liberatore,packet-random-gaussian,panchenko,0.01968522669537275,0.0393704533907455,False
liberatore,packet-random-gaussian,vng++,0.022820290266408732,0.045640580532817464,False
liberatore,packet-random-gaussian,CUMUL,0.021659560265053383,0.04331912053010677,False
liberatore,session-random-255,liberatore,0.057213348570669884,0.11442669714133977,False
liberatore,session-random-255,herrmann,0.12937529427123323,0.25875058854246646,False
liberatore,session-random-255,panchenko,0.026604553757786396,0.05320910751557279,False
liberatore,session-random-255,vng++,0.027988351115508105,0.05597670223101621,False
liberatore,session-random-255,CUMUL,0.023871589173425658,0.047743178346851316,False
liberatore,packet-random-255,liberatore,0.05575712218909783,0.11151424437819565,False
liberatore,packet-random-255,herrmann,0.15452670137709204,0.3090534027541841,False
liberatore,packet-random-255,panchenko,0.01888883497653564,0.03777766995307128,False
liberatore,packet-random-255,vng++,0.02185029060660379,0.04370058121320758,False
liberatore,packet-random-255,CUMUL,0.02274703266595901,0.04549406533191802,False
liberatore,none,liberatore,0.01224299524512221,0.02448599049024442,False
liberatore,none,herrmann,0.013061674062455493,0.026123348124910985,False
liberatore,none,panchenko,0.014921203169185871,0.029842406338371742,False
liberatore,none,vng++,0.025064386436494095,0.05012877287298819,False
liberatore,none,CUMUL,0.019791820751474794,0.03958364150294959,False
liberatore,session-random-gaussian,liberatore,0.1288320681524091,0.2576641363048182,False
liberatore,session-random-gaussian,herrmann,0.31086872399876164,0.6217374479975233,False
liberatore,session-random-gaussian,panchenko,0.04023352649541866,0.08046705299083733,False
liberatore,session-random-gaussian,vng++,0.027040075740909896,0.05408015148181979,False
liberatore,session-random-gaussian,CUMUL,0.020615997030141685,0.04123199406028337,False
liberatore,packet-random-gaussian,liberatore,0.1609257651345221,0.3218515302690442,False
liberatore,packet-random-gaussian,herrmann,0.25225484926887093,0.5045096985377419,False
liberatore,packet-random-gaussian,panchenko,0.018403790724499106,0.03680758144899821,False
liberatore,packet-random-gaussian,vng++,0.024525265480355343,0.049050530960710687,False
liberatore,packet-random-gaussian,CUMUL,0.020846065636820354,0.04169213127364071,False
liberatore,session-random-255,liberatore,0.05747897701524186,0.11495795403048371,False
liberatore,session-random-255,herrmann,0.12763624015518724,0.25527248031037447,False
liberatore,session-random-255,panchenko,0.028859622569922586,0.05771924513984517,False
liberatore,session-random-255,vng++,0.030545800821858194,0.06109160164371639,False
liberatore,session-random-255,CUMUL,0.02186760214340915,0.0437352042868183,False
liberatore,packet-random-255,liberatore,0.060382709213857806,0.12076541842771561,False
liberatore,packet-random-255,herrmann,0.14843562160503365,0.2968712432100673,False
liberatore,packet-random-255,panchenko,0.01839081539447158,0.03678163078894316,False
liberatore,packet-random-255,vng++,0.02442802284831769,0.04885604569663538,False
liberatore,packet-random-255,CUMUL,0.0201270561291944,0.0402541122583888,False
liberatore,none,liberatore,0.01384506503773245,0.0276901300754649,False
liberatore,none,herrmann,0.013501714778575931,0.027003429557151862,False
liberatore,none,panchenko,0.015295034143633592,0.030590068287267184,False
liberatore,none,vng++,0.022863736269809212,0.045727472539618425,False
liberatore,none,CUMUL,0.02964892485612912,0.05929784971225824,False
liberatore,session-random-gaussian,liberatore,0.14006701538223487,0.28013403076446974,False
liberatore,session-random-gaussian,herrmann,0.30481743738671824,0.6096348747734365,False
liberatore,session-random-gaussian,panchenko,0.03510600615821433,0.07021201231642867,False
liberatore,session-random-gaussian,vng++,0.029975559728529264,0.05995111945705853,False
liberatore,session-random-gaussian,CUMUL,0.030907849860262154,0.06181569972052431,False
liberatore,packet-random-gaussian,liberatore,0.17739287445535748,0.35478574891071496,False
liberatore,packet-random-gaussian,herrmann,0.23762963494653289,0.47525926989306577,False
liberatore,packet-random-gaussian,panchenko,0.019343189639280403,0.038686379278560806,False
liberatore,packet-random-gaussian,vng++,0.024291551480719136,0.04858310296143827,False
liberatore,packet-random-gaussian,CUMUL,0.03129111598583313,0.06258223197166626,False
liberatore,session-random-255,liberatore,0.058470863047623146,0.11694172609524629,False
liberatore,session-random-255,herrmann,0.13308116499224393,0.26616232998448786,False
liberatore,session-random-255,panchenko,0.03068968536745552,0.06137937073491104,False
liberatore,session-random-255,vng++,0.03207356971317873,0.06414713942635746,False
liberatore,session-random-255,CUMUL,0.03158596448038167,0.06317192896076335,False
liberatore,packet-random-255,liberatore,0.05195769059921433,0.10391538119842866,False
liberatore,packet-random-255,herrmann,0.1451526911325004,0.2903053822650008,False
liberatore,packet-random-255,panchenko,0.018788312638598256,0.03757662527719651,False
liberatore,packet-random-255,vng++,0.026521321324800652,0.053042642649601304,False
liberatore,packet-random-255,CUMUL,0.029925435137568134,0.05985087027513627,False
liberatore,none,liberatore,0.014899235887236358,0.029798471774472715,False
liberatore,none,herrmann,0.014506068352720267,0.029012136705440533,False
