dataset,defense,feature_set,error_bound,epsilon,closed_world
liberatore,packet-random-255,vng++,0.12116457254552518,0.1223884571166921,True
liberatore,packet-random-255,CUMUL,0.07710241538275497,0.07788122765934845,True
liberatore,none,liberatore,0.056725120878098494,0.05729810189706919,True
liberatore,none,herrmann,0.04460484452267259,0.045055398507750095,True
liberatore,none,panchenko,0.061670855784436804,0.06229379372165334,True
liberatore,none,vng++,0.12607812853244646,0.12735164498226914,True
liberatore,none,CUMUL,0.08467077811439225,0.08552603849938611,True
liberatore,session-random-gaussian,liberatore,0.4277660629239819,0.4320869322464464,True
liberatore,session-random-gaussian,herrmann,0.4006851435777306,0.40473246826033393,True
liberatore,session-random-gaussian,panchenko,0.25471842128338346,0.25729133462968024,True
liberatore,session-random-gaussian,vng++,0.17836831013075885,0.18017001023308973,True
liberatore,session-random-gaussian,CUMUL,0.0913660366979223,0.09228892595749727,True
liberatore,packet-random-gaussian,liberatore,0.5789124180907432,0.584760018273478,True
liberatore,packet-random-gaussian,herrmann,0.6774092131875926,0.6842517304925178,True
liberatore,packet-random-gaussian,panchenko,0.10468480189256892,0.105742224133908,True
liberatore,packet-random-gaussian,vng++,0.1421562643977369,0.1435921862603403,True
liberatore,packet-random-gaussian,CUMUL,0.08779270674639306,0.0886795017640334,True
liberatore,session-random-255,liberatore,0.16909013893119793,0.17079812013252316,True
liberatore,session-random-255,herrmann,0.09883334891839676,0.09983166557413814,True
liberatore,session-random-255,panchenko,0.1607509421169054,0.16237468900697516,True
liberatore,session-random-255,vng++,0.20673567679869398,0.20882391595827673,True
liberatore,session-random-255,CUMUL,0.09324083500641041,0.09418266162263678,True
liberatore,packet-random-255,liberatore,0.36799356916507686,0.37171067592432006,True
liberatore,packet-random-255,herrmann,0.5606539856945217,0.5663171572671937,True
liberatore,packet-random-255,panchenko,0.1051881555946485,0.10625066221681666,True
liberatore,packet-random-255,vng++,0.1506645485862044,0.1521864127133378,True
liberatore,packet-random-255,CUMUL,0.09043010277132986,0.09134353815285844,True
liberatore,none,liberatore,0.05059809108495179,0.05110918291409272,True
liberatore,none,herrmann,0.040221090469737535,0.04062736411084599,True
liberatore,none,panchenko,0.053500775281180815,0.05404118715270789,True
liberatore,none,vng++,0.10051245593570966,0.1015277332683936,True
liberatore,none,CUMUL,0.07635157761868817,0.0771228056754426,True
liberatore,session-random-gaussian,liberatore,0.42694477927045615,0.4312573527984406,True
liberatore,session-random-gaussian,herrmann,0.40453179932040423,0.4086179791115194,True
liberatore,session-random-gaussian,panchenko,0.23462212345860695,0.23699204389758277,True
liberatore,session-random-gaussian,vng++,0.15091745146163899,0.1524418701632717,True
liberatore,session-random-gaussian,CUMUL,0.0823860115247021,0.08321819345929504,True
liberatore,packet-random-gaussian,liberatore,0.5352119756704924,0.5406181572429216,True
liberatore,packet-random-gaussian,herrmann,0.697687736778604,0.7047350876551555,True
liberatore,packet-random-gaussian,panchenko,0.08582858153058803,0.08669553689958387,True
liberatore,packet-random-gaussian,vng++,0.11816339258148985,0.1193569622035251,True
liberatore,packet-random-gaussian,CUMUL,0.08107770058536552,0.08189666725794496,True
